Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
case_1,0.9312289357185364,0.9771546721458435,0.9782045483589172,1.0,1.0,1.0
case_2,0.9085431694984436,0.9599246382713318,0.960591197013855,1.4142135381698608,2.4494898319244385,3.0
case_3,0.5702306032180786,0.5787847638130188,0.9206162691116333,5.0,5.0,4.123105525970459
case_4,0.8970124125480652,0.8630601763725281,0.9254313111305237,1.4142135381698608,3.1622776985168457,2.2360680103302
case_5,0.4574964940547943,0.5854251980781555,0.9138777256011963,13.03840446472168,10.099504470825195,5.385164737701416
case_6,0.9354186058044434,0.9517695903778076,0.9543688893318176,1.0,1.0,3.7416574954986572
case_7,0.8213467001914978,0.8784840703010559,0.7449195981025696,2.2360680103302,2.0,14.142135620117188
case_8,0.8552985787391663,0.9206110835075378,0.9236350059509277,10.634820938110352,12.557841300964355,5.0
case_9,0.34239208698272705,0.7781826853752136,0.9667853116989136,9.486832618713379,6.164413928985596,2.2360680103302
case_10,0.9620518088340759,0.9782310724258423,0.9552444815635681,1.0,1.0,1.7320507764816284
case_11,0.9173949360847473,0.9403131008148193,0.8509265184402466,1.4142135381698608,2.2360680103302,20.049938201904297
case_12,0.6582653522491455,0.9061528444290161,0.8719406723976135,2.2360680103302,2.4494898319244385,2.8284270763397217
case_13,0.4029720425605774,0.3768352270126343,0.8248307704925537,5.783433437347412,6.324555397033691,17.217723846435547
case_14,0.9332037568092346,0.9710158705711365,0.9758928418159485,1.4142135381698608,1.4142135381698608,1.7320507764816284
case_15,0.9337427616119385,0.9747226238250732,0.949410617351532,1.4142135381698608,1.4142135381698608,3.7416574954986572
case_16,0.9643304944038391,0.9830901622772217,0.9746390581130981,1.0,1.0,1.0
case_17,0.8990983366966248,0.9579595923423767,0.9746211767196655,1.0,1.4142135381698608,1.4142135381698608
case_18,0.9692333936691284,0.9855642914772034,0.9683520197868347,1.0,1.0,1.0
case_19,0.9668492078781128,0.9648836255073547,0.966847836971283,1.0,2.8284270763397217,2.2360680103302
case_20,0.836301326751709,0.9182992577552795,0.9350206255912781,3.0,3.1622776985168457,3.605551242828369
