Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
BraTS-MEN-00004-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00010-000-t2f,0.9322617650032043,0.9325141,0.9184659,2.2360680103302,2.2360680103302,1.7320507764816284
BraTS-MEN-00012-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00017-000-t2f,0.9384711384773254,0.9371458,0.8589403,3.0,2.4494898319244385,62.57555770874024
BraTS-MEN-00018-000-t2f,0.9799761176109314,0.975138,0.967732,1.0,1.7320507764816284,1.4142135381698608
BraTS-MEN-00020-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00022-000-t2f,0.9474557042121888,0.9424697,0.85117716,2.0,2.0,4.898979663848877
BraTS-MEN-00052-000-t2f,0.9838862419128418,0.983493,0.9450674,1.0,1.0,2.8284270763397217
BraTS-MEN-00053-000-t2f,0.9262706637382508,0.89700645,0.9410782,2.8284270763397217,6.4031243324279785,2.0
BraTS-MEN-00056-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00059-000-t2f,0.9846659302711488,0.9848272,0.865322,1.0,1.0,10.049875259399414
BraTS-MEN-00070-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00074-007-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00081-000-t2f,0.0,0.0,0.009116232,373.0,373.0,44.99833297729492
BraTS-MEN-00094-000-t2f,0.0,0.0,0.0,373.0,373.0,122.7873992919922
BraTS-MEN-00103-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00108-004-t2f,0.0,0.0,0.0,373.0,373.0,85.91275024414062
BraTS-MEN-00111-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00113-000-t2f,0.9698141813278198,0.9715389,0.91097885,1.4142135381698608,1.4142135381698608,5.830951690673828
BraTS-MEN-00119-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00122-000-t2f,0.9184986352920532,0.8666906,0.92109936,19.72308349609375,21.540658950805664,4.4721360206604
BraTS-MEN-00125-000-t2f,0.0,0.0,0.100196466,373.0,373.0,9.48683261871338
BraTS-MEN-00138-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00152-000-t2f,0.1539084613323211,0.19092847,0.6496431,15.937376976013184,15.68438720703125,56.23877334594727
BraTS-MEN-00166-000-t2f,0.9768960475921632,0.97536296,0.95000756,1.0,1.4142135381698608,2.0
BraTS-MEN-00167-000-t2f,0.7061598300933838,0.761431,0.8599155,13.6857271194458,12.409673690795898,45.626731872558594
BraTS-MEN-00177-000-t2f,0.9385077357292176,0.94206744,0.6816859,3.0,3.0,12.409673690795898
BraTS-MEN-00192-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00200-000-t2f,0.0,0.0,0.038828705,373.0,373.0,17.485702514648438
BraTS-MEN-00202-000-t2f,0.8644118309020996,0.53659433,0.86743706,1.4142135381698608,9.43398094177246,5.0
BraTS-MEN-00204-000-t2f,0.975494384765625,0.9677756,0.92161685,1.0,1.0,5.74456262588501
BraTS-MEN-00207-000-t2f,0.9390717148780824,0.93727857,0.7996323,2.4494898319244385,2.8284270763397217,32.588340759277344
BraTS-MEN-00213-000-t2f,0.96277916431427,0.96095824,0.9017534,1.0,1.0,5.74456262588501
BraTS-MEN-00215-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00219-000-t2f,0.9614009261131288,0.96060085,0.64493406,1.0,1.0,15.372028350830078
BraTS-MEN-00220-000-t2f,0.876429557800293,0.87778854,0.8464816,9.899495124816896,13.638181686401367,13.416407585144045
BraTS-MEN-00224-000-t2f,0.9713312387466432,0.9689171,0.90555793,1.4142135381698608,1.4142135381698608,3.605551242828369
BraTS-MEN-00232-000-t2f,0.0,0.0,0.00020086371,373.0,373.0,24.124675750732425
BraTS-MEN-00245-000-t2f,0.8744915723800659,0.94745916,0.89596033,2.2360680103302,2.2360680103302,46.88283157348633
BraTS-MEN-00246-000-t2f,0.9578585624694824,0.9556277,0.89169437,1.0,1.0,24.10394096374512
BraTS-MEN-00256-000-t2f,0.0,0.0,0.0045871558,373.0,373.0,12.84128189086914
BraTS-MEN-00260-000-t2f,0.9622560143470764,0.9612668,0.9124026,15.420753479003906,16.017107009887695,4.4721360206604
BraTS-MEN-00263-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00278-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00285-000-t2f,0.8908321857452393,0.86989045,0.52559936,1.4142135381698608,1.7320507764816284,6.78233003616333
BraTS-MEN-00299-000-t2f,0.0920598357915878,0.35411966,0.7832856,14.696938514709473,11.659601211547852,60.75360107421875
BraTS-MEN-00302-000-t2f,0.9610462188720704,0.9608713,0.5403019,2.4494898319244385,2.4494898319244385,83.06623840332031
BraTS-MEN-00305-000-t2f,1.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00318-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00327-000-t2f,0.7539040446281433,0.82038146,0.8108909,14.638961791992188,32.93629837036133,8.9442720413208
BraTS-MEN-00330-000-t2f,0.9756618738174438,0.9722909,0.9135233,1.0,1.0,2.2360680103302
BraTS-MEN-00344-000-t2f,0.9557127952575684,0.9594696,0.9456903,2.2360680103302,1.7320507764816284,2.2360680103302
BraTS-MEN-00353-000-t2f,0.9682323932647704,0.967078,0.9349339,8.062257766723633,2.2360680103302,2.4494898319244385
BraTS-MEN-00354-000-t2f,0.9301861524581908,0.92630905,0.8774331,14.59451961517334,15.0,17.0
BraTS-MEN-00358-000-t2f,0.9668043851852416,0.96814144,0.7513671,2.2360680103302,1.0,15.132745742797852
BraTS-MEN-00363-000-t2f,0.0,0.0,0.11451323,373.0,373.0,78.16488647460938
BraTS-MEN-00369-000-t2f,0.9664570689201356,0.914245,0.6616284,1.4142135381698608,3.464101552963257,70.63285064697266
BraTS-MEN-00370-000-t2f,0.8592634201049805,0.87574995,0.9178961,6.4031243324279785,6.324555397033691,4.0
BraTS-MEN-00385-000-t2f,0.9791530966758728,0.97668827,0.91695744,1.0,1.0,1.4142135381698608
BraTS-MEN-00387-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00408-000-t2f,0.9364017248153688,0.9447192,0.8749141,2.0,1.7320507764816284,17.54707145690918
BraTS-MEN-00418-000-t2f,0.0,0.0,0.5578136,373.0,373.0,4.123105525970459
BraTS-MEN-00434-000-t2f,0.9552114009857178,0.95412457,0.8361337,4.690415859222412,5.099019527435303,13.34166431427002
BraTS-MEN-00440-000-t2f,0.9376662373542786,0.93336654,0.6358869,1.7320507764816284,2.2360680103302,83.06021881103516
BraTS-MEN-00441-000-t2f,0.975361168384552,0.9747897,0.92091125,1.4142135381698608,1.4142135381698608,3.741657495498657
BraTS-MEN-00461-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00465-000-t2f,0.9233262538909912,0.91705775,0.8717129,3.741657495498657,4.0,5.4772257804870605
BraTS-MEN-00468-000-t2f,0.9636036157608032,0.9562497,0.883585,1.0,1.4142135381698608,8.124038696289062
BraTS-MEN-00470-000-t2f,0.9643335938453674,0.9642313,0.9242558,1.4142135381698608,1.4142135381698608,3.464101552963257
