Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
BraTS-MEN-00004-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00010-000-t2f,0.9323198795318604,0.93049353,0.8786506,2.2360680103302,2.2360680103302,2.2360680103302
BraTS-MEN-00012-000-t2f,0.447204977273941,0.689688,0.7017132,5.830951690673828,5.099019527435303,5.0
BraTS-MEN-00017-000-t2f,0.9311974048614502,0.92880857,0.8616351,6.480740547180176,6.164413928985596,10.392304420471191
BraTS-MEN-00018-000-t2f,0.9777172207832336,0.98054314,0.9761013,2.4494898319244385,1.4142135381698608,1.0
BraTS-MEN-00020-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00022-000-t2f,0.927789032459259,0.9272159,0.88482237,3.0,3.0,3.0
BraTS-MEN-00052-000-t2f,0.9809048175811768,0.9805712,0.94745696,1.0,1.4142135381698608,2.2360680103302
BraTS-MEN-00053-000-t2f,0.9339659214019777,0.89982784,0.9473173,3.0,6.082762718200684,2.0
BraTS-MEN-00056-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00059-000-t2f,0.9795260429382324,0.9813506,0.8993851,1.0,1.0,7.211102485656738
BraTS-MEN-00070-000-t2f,0.0,0.00625,0.015209125,373.0,11.045360565185549,11.357816696166992
BraTS-MEN-00074-007-t2f,0.0,0.0,0.0,373.0,373.0,76.70722961425781
BraTS-MEN-00081-000-t2f,0.2356373369693756,0.46526152,0.18872404,45.60810470581055,41.42882537841797,47.034027099609375
BraTS-MEN-00094-000-t2f,0.0,0.0,0.0,373.0,373.0,130.92669677734375
BraTS-MEN-00103-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00108-004-t2f,0.0,0.0,0.0,373.0,373.0,95.3375473022461
BraTS-MEN-00111-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00113-000-t2f,0.9556939005851746,0.9597058,0.9408671,1.4142135381698608,1.4142135381698608,1.7320507764816284
BraTS-MEN-00119-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00122-000-t2f,0.9542428255081176,0.9272652,0.9616719,13.152946472167969,13.304134368896484,2.0
BraTS-MEN-00125-000-t2f,0.0,0.0,0.0,373.0,373.0,72.65667724609375
BraTS-MEN-00138-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00152-000-t2f,0.0,0.0,0.6562063,373.0,373.0,14.866068840026855
BraTS-MEN-00166-000-t2f,0.9804953932762146,0.98179597,0.97605044,1.0,1.0,1.4142135381698608
BraTS-MEN-00167-000-t2f,0.6088533997535706,0.7427259,0.88305277,14.352700233459473,11.0,5.74456262588501
BraTS-MEN-00177-000-t2f,0.9582825899124146,0.9713673,0.6737913,2.8284270763397217,1.4142135381698608,16.155494689941406
BraTS-MEN-00192-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00200-000-t2f,0.7725685834884644,0.84839594,0.5417265,6.049655437469482,3.64637303352356,103.00485229492188
BraTS-MEN-00202-000-t2f,0.3610986173152923,0.63430655,0.9049526,7.874007701873779,4.123105525970459,3.0
BraTS-MEN-00204-000-t2f,0.9805520176887512,0.9793735,0.96252066,1.0,1.0,1.4142135381698608
BraTS-MEN-00207-000-t2f,0.952009379863739,0.9550485,0.8045263,2.0,2.0,29.33847999572754
BraTS-MEN-00213-000-t2f,0.9599628448486328,0.96077234,0.91564006,1.0,1.0,9.219544410705566
BraTS-MEN-00215-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00219-000-t2f,0.9638464450836182,0.9641969,0.81510854,1.0,1.0,9.449832916259766
BraTS-MEN-00220-000-t2f,0.2635011970996856,0.35932055,0.51943094,33.52162170410156,30.54504776000977,25.495098114013672
BraTS-MEN-00224-000-t2f,0.9708925485610962,0.9721833,0.92364407,1.4142135381698608,1.4142135381698608,2.4494898319244385
BraTS-MEN-00232-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00245-000-t2f,0.891598105430603,0.94287044,0.90882605,2.0,2.2360680103302,47.92702865600586
BraTS-MEN-00246-000-t2f,0.9621542692184448,0.95571095,0.8825576,1.0,1.0,14.32479763031006
BraTS-MEN-00256-000-t2f,0.0,0.024971623,0.036022514,373.0,8.246211051940918,13.152946472167969
BraTS-MEN-00260-000-t2f,0.9632541537284852,0.9632773,0.9344185,2.2360680103302,2.2360680103302,3.316624879837036
BraTS-MEN-00263-000-t2f,0.0,0.0,0.0,373.0,373.0,114.12712097167967
BraTS-MEN-00278-000-t2f,0.0,0.0,0.0,373.0,373.0,373.0
BraTS-MEN-00285-000-t2f,0.8030978441238403,0.5177925,0.2936203,5.385164737701416,7.348469257354736,12.018715858459473
BraTS-MEN-00299-000-t2f,0.9061350226402284,0.920817,0.9067105,3.1622776985168457,3.0,3.0
BraTS-MEN-00302-000-t2f,0.9731870293617249,0.9662321,0.59160036,2.4494898319244385,80.95832061767578,83.81526947021484
BraTS-MEN-00305-000-t2f,1.0,0.0,0.0,373.0,373.0,96.92317199707033
BraTS-MEN-00318-000-t2f,0.0,0.0,0.0,373.0,373.0,105.05998229980467
BraTS-MEN-00327-000-t2f,0.6834372878074646,0.72116333,0.85727614,13.747727394104004,13.45362377166748,7.348469257354736
BraTS-MEN-00330-000-t2f,0.9763004183769226,0.9739757,0.9118543,1.4142135381698608,1.4142135381698608,101.47906494140624
BraTS-MEN-00344-000-t2f,0.9574034214019777,0.96027267,0.96018434,1.7320507764816284,2.0,1.4142135381698608
