Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
BraTS-PED-00002-000,0.722274899482727,0.23175357,0.8939126,2.8284270763397217,10.440306663513184,11.090536117553713
BraTS-PED-00008-000,0.0,0.2813632,0.8561476,,14.142135620117188,4.582575798034668
BraTS-PED-00023-000,,0.06291153,0.9398735,,35.35533905029297,2.4494898319244385
BraTS-PED-00025-000,0.953167200088501,0.9626912,0.9424227,1.0,2.4494898319244385,3.0
BraTS-PED-00040-000,0.856243908405304,0.81342435,0.86945426,3.741657495498657,5.830951690673828,4.242640495300293
BraTS-PED-00046-000,0.911682665348053,0.925915,0.89827704,2.2360680103302,7.280109882354736,7.0
BraTS-PED-00051-000,,0.0,0.0,,,
BraTS-PED-00061-000,0.7674877047538757,0.5502852,0.93509406,4.0,11.090536117553713,3.741657495498657
BraTS-PED-00079-000,,0.33890644,0.9403388,,11.57583713531494,3.1622776985168457
BraTS-PED-00081-000,0.6025751233100891,0.3301468,0.66097224,5.0,17.52141571044922,69.61178588867188
BraTS-PED-00083-000,0.8264967799186707,0.60821605,0.94481015,5.0,14.515494346618652,3.0
BraTS-PED-00086-000,0.0,0.13263504,0.92020047,42.016231536865234,22.713428497314453,3.464101552963257
BraTS-PED-00109-000,0.929749608039856,0.5623392,0.940366,2.0,15.033296585083008,5.385164737701416
BraTS-PED-00111-000,0.3493560552597046,0.77425,0.92497545,14.247806549072266,8.306623458862305,5.385164737701416
BraTS-PED-00120-000,0.7621973752975464,0.87753695,0.81664836,2.2360680103302,5.0,5.830951690673828
BraTS-PED-00123-000,0.6463660001754761,0.17976086,0.77342933,3.316624879837036,18.97366523742676,6.0
BraTS-PED-00131-000,,0.31547523,0.9146697,,12.002071380615234,2.8284270763397217
BraTS-PED-00135-000,0.0,0.0425389,0.8837013,,26.06146240234375,5.196152210235596
BraTS-PED-00143-000,0.5954628586769104,0.7525285,0.908914,3.0,12.915006637573242,3.1622776985168457
BraTS-PED-00170-000,0.3101322650909424,0.5790224,0.7801236,29.7657527923584,16.155494689941406,15.62049961090088
BraTS-PED-00009-000,0.0,2.3743663e-05,0.70586425,,72.64846801757812,13.190905570983888
BraTS-PED-00021-000,0.0007760962471365,0.1202632,0.83973825,27.658634185791016,21.0,7.681145668029785
BraTS-PED-00024-000,0.2037251144647598,0.16767581,0.5426118,20.280519485473636,26.739484786987305,24.779024124145508
BraTS-PED-00036-000,,0.5138837,0.9128339,,15.033296585083008,8.366600036621094
BraTS-PED-00037-000,0.9169471263885498,0.79106724,0.8515304,2.957106828689575,5.4772257804870605,4.690415859222412
BraTS-PED-00055-000,0.0,0.004143445,0.7460851,,56.40035629272461,12.247448921203612
BraTS-PED-00060-000,0.0,0.006761325,0.9320029,,36.27671432495117,4.0
BraTS-PED-00063-000,0.8141651153564453,0.50601166,0.8062244,13.236250877380373,18.788293838500977,8.246211051940918
BraTS-PED-00067-000,0.2257474064826965,0.39315018,0.84325796,5.74456262588501,19.72308349609375,6.480740547180176
BraTS-PED-00078-000,0.0,0.8464612,0.92465013,,4.582575798034668,3.0
BraTS-PED-00084-000,0.8365467190742493,0.36316437,0.90794814,1.4142135381698608,18.220867156982425,3.316624879837036
BraTS-PED-00096-000,0.0023174970410764,0.00336195,0.8028491,29.23097038269043,24.35159111022949,19.442222595214844
BraTS-PED-00112-000,0.9156296253204346,0.92297256,0.92642355,1.4142135381698608,7.483314990997314,3.0
BraTS-PED-00115-000,0.0,0.0,0.10741511,,,39.97998809814453
BraTS-PED-00116-000,0.7016163468360901,0.46254602,0.8407218,6.480740547180176,17.34935188293457,10.630146026611328
BraTS-PED-00117-000,0.0300635732710361,0.8213853,0.9137069,20.049938201904297,7.280109882354736,9.48683261871338
BraTS-PED-00119-000,0.8378369808197021,0.8483317,0.78238094,21.202587127685547,22.75961303710937,22.912878036499023
BraTS-PED-00128-000,0.0011331444839015,0.01328243,0.88754815,28.44292449951172,17.57839584350586,3.0
BraTS-PED-00136-000,0.0,0.47578254,0.9079722,73.2734603881836,20.75088119506836,2.8284270763397217
BraTS-PED-00142-000,0.0,0.0019500304,0.82381153,,33.83119583129883,13.152946472167969
BraTS-PED-00006-000,0.8964411616325378,0.92055607,0.79769707,1.4142135381698608,3.741657495498657,63.5688591003418
BraTS-PED-00010-000,0.9018784761428832,0.68183255,0.92518544,2.4494898319244385,12.206555366516112,5.0
BraTS-PED-00019-000,,0.19968614,0.5956864,,11.180339813232422,15.779733657836914
BraTS-PED-00020-000,,0.0058503863,0.9037815,,41.59326934814453,15.16575050354004
BraTS-PED-00026-000,0.8694629073143005,0.94367504,0.9600349,1.4142135381698608,2.4494898319244385,1.4142135381698608
BraTS-PED-00039-000,0.8333333134651184,0.092256024,0.9510447,13.328527450561523,23.043437957763672,1.7320507764816284
BraTS-PED-00041-000,0.8957977294921875,0.7127677,0.9311467,1.0,3.605551242828369,2.0
BraTS-PED-00048-000,0.8543696403503418,0.86149424,0.87260234,1.4142135381698608,6.7082037925720215,4.242640495300293
BraTS-PED-00050-000,0.6935020089149475,0.5462227,0.90487164,3.1622776985168457,13.816546440124512,4.582575798034668
BraTS-PED-00052-000,0.4704984724521637,0.6008188,0.86982405,5.916079998016357,6.0,3.1622776985168457
BraTS-PED-00064-000,0.7489177584648132,0.434571,0.86207867,35.06351089477539,32.172969818115234,30.3232536315918
